,From,To,From_Table,To_Table,Weight,Rental price,Transportation_distance,Type,price,profit_margin (%),market_share (%),Annual_sales,Edge_Name
0,1240,1600,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
1,1600,1164,Ssintship,Supplier,20,0,0,0,0.0,0,19,5.21,ssintship
2,1159,1601,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
3,1601,1072,Ssintship,Supplier,35,0,0,0,0.0,0,86,76.43,ssintship
4,1126,1602,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
5,1602,1125,Ssintship,Supplier,35,0,0,0,0.0,0,89,7.79,ssintship
6,1105,1603,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
7,1603,1113,Ssintship,Supplier,35,0,0,0,0.0,0,75,107.13,ssintship
8,1070,1604,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
9,1604,1188,Ssintship,Supplier,25,0,0,0,0.0,0,40,3096.12,ssintship
10,1093,1605,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
11,1605,1111,Ssintship,Supplier,20,0,0,0,0.0,0,10,792.86,ssintship
12,1246,1606,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
13,1606,1227,Ssintship,Supplier,20,0,0,0,0.0,0,16,6.18,ssintship
14,1074,1607,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
15,1607,1047,Ssintship,Supplier,35,0,0,0,0.0,0,90,423.94,ssintship
16,1035,1608,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
17,1608,1050,Ssintship,Supplier,35,0,0,0,0.0,0,67,67.7,ssintship
18,1008,1609,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
19,1609,1021,Ssintship,Supplier,35,0,0,0,0.0,0,69,936.91,ssintship
20,1116,1610,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
21,1610,1056,Ssintship,Supplier,20,0,0,0,0.0,0,26,20.98,ssintship
22,1081,1611,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
23,1611,1105,Ssintship,Supplier,35,0,0,0,0.0,0,69,85.56,ssintship
24,1174,1612,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
25,1612,1249,Ssintship,Supplier,35,0,0,0,0.0,0,83,1353.54,ssintship
26,1171,1613,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
27,1613,1008,Ssintship,Supplier,35,0,0,0,0.0,0,86,6.18,ssintship
28,1123,1614,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
29,1614,1103,Ssintship,Supplier,20,0,0,0,0.0,0,13,1.33,ssintship
30,1297,1615,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
31,1615,1203,Ssintship,Supplier,35,0,0,0,0.0,0,90,5.91,ssintship
32,1293,1616,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
33,1616,1246,Ssintship,Supplier,35,0,0,0,0.0,0,70,29.23,ssintship
34,1015,1617,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
35,1617,1097,Ssintship,Supplier,35,0,0,0,0.0,0,71,8.45,ssintship
36,1168,1618,Supplier,Ssintship,10,0,0,0,0.0,0,0,0.0,ssintship
